               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.025816,            0.035298,            0.014331,             0.75152,             0.31062,             0.38105,             0.30602,            0.026077,             0.04658,            0.038695,           0.0089673,           0.0089673,           0.0089673
                 112,            0.025487,            0.035067,            0.014321,             0.74946,             0.31214,             0.38087,             0.30581,            0.026083,            0.046596,            0.038696,           0.0089492,           0.0089492,           0.0089492
                 113,            0.025581,            0.035475,            0.014265,              0.7466,             0.31349,             0.38062,             0.30585,            0.026086,            0.046623,             0.03869,            0.008931,            0.008931,            0.008931
                 114,            0.025685,            0.035403,            0.014111,             0.75144,             0.31071,             0.38303,             0.30723,             0.02609,            0.046631,            0.038693,           0.0089126,           0.0089126,           0.0089126
                 115,            0.025616,            0.035138,            0.013906,             0.75259,             0.30984,             0.38295,             0.30716,            0.026093,            0.046637,            0.038696,           0.0088941,           0.0088941,           0.0088941
                 116,            0.025724,             0.03546,            0.014088,              0.7645,             0.30849,             0.38607,             0.30832,            0.026094,            0.046654,            0.038693,           0.0088755,           0.0088755,           0.0088755
                 117,            0.025517,            0.035218,             0.01398,             0.77372,             0.30694,             0.38633,             0.30872,            0.026092,            0.046637,            0.038702,           0.0088567,           0.0088567,           0.0088567
                 118,            0.025517,            0.034979,            0.013789,              0.7714,             0.30731,             0.38604,             0.30869,             0.02609,            0.046649,            0.038713,           0.0088378,           0.0088378,           0.0088378
                 119,            0.025474,            0.035473,             0.01395,             0.72875,             0.32514,             0.38354,              0.3069,            0.026091,            0.046669,            0.038714,           0.0088188,           0.0088188,           0.0088188
                 120,            0.025628,            0.035144,            0.013948,             0.70908,             0.33728,              0.3831,             0.30675,             0.02609,            0.046708,            0.038723,           0.0087996,           0.0087996,           0.0087996
                 121,            0.025574,            0.035363,            0.013881,             0.71009,             0.33712,             0.38404,             0.30779,            0.026092,            0.046715,             0.03873,           0.0087804,           0.0087804,           0.0087804
                 122,            0.025554,            0.034909,            0.013727,               0.711,             0.33689,             0.38393,             0.30824,            0.026094,            0.046743,            0.038731,           0.0087609,           0.0087609,           0.0087609
                 123,            0.025589,            0.035015,            0.013835,             0.65768,              0.3734,             0.38468,             0.30898,            0.026098,            0.046769,            0.038737,           0.0087414,           0.0087414,           0.0087414
                 124,            0.025386,            0.035121,            0.013861,             0.66158,             0.37322,             0.38457,             0.30846,            0.026101,            0.046789,            0.038723,           0.0087217,           0.0087217,           0.0087217
                 125,            0.025564,            0.035191,            0.013649,             0.66381,             0.37276,             0.38367,             0.30751,            0.026106,              0.0468,            0.038723,           0.0087019,           0.0087019,           0.0087019
                 126,            0.025359,            0.035174,            0.013633,             0.66547,             0.37151,             0.38376,             0.30752,            0.026108,            0.046808,            0.038727,            0.008682,            0.008682,            0.008682
                 127,            0.025355,            0.035256,            0.013689,             0.67095,             0.37098,             0.38462,             0.30855,            0.026109,            0.046826,            0.038737,           0.0086619,           0.0086619,           0.0086619
                 128,            0.025425,            0.035041,            0.013571,             0.67279,             0.37125,             0.38458,             0.30898,            0.026112,            0.046833,            0.038741,           0.0086417,           0.0086417,           0.0086417
                 129,            0.025438,            0.034811,            0.013555,              0.6605,             0.36879,             0.38461,             0.30882,            0.026114,            0.046853,            0.038729,           0.0086214,           0.0086214,           0.0086214
                 130,            0.025227,            0.034769,            0.013345,             0.66451,             0.36862,             0.38741,             0.31045,            0.026116,            0.046874,             0.03872,            0.008601,            0.008601,            0.008601
                 131,            0.025432,            0.034951,            0.013408,             0.67315,             0.36736,             0.38807,             0.31091,            0.026118,            0.046898,            0.038722,           0.0085805,           0.0085805,           0.0085805
                 132,            0.025472,            0.034811,             0.01336,             0.67648,             0.36733,              0.3881,             0.31113,            0.026116,             0.04691,             0.03872,           0.0085598,           0.0085598,           0.0085598
                 133,            0.025444,            0.034991,            0.013478,             0.67731,             0.36668,             0.38799,             0.31095,            0.026115,            0.046941,             0.03873,            0.008539,            0.008539,            0.008539
                 134,            0.025292,            0.034596,            0.013506,             0.67726,             0.36458,             0.38785,             0.31078,            0.026104,             0.04693,            0.038706,           0.0085181,           0.0085181,           0.0085181
                 135,            0.025417,            0.035083,            0.013317,              0.6807,              0.3624,             0.38832,              0.3104,            0.026099,            0.046949,            0.038709,           0.0084971,           0.0084971,           0.0084971
                 136,            0.025116,            0.034691,            0.013229,             0.68252,             0.36018,              0.3861,             0.30918,            0.026097,             0.04696,            0.038719,           0.0084759,           0.0084759,           0.0084759
                 137,            0.025195,            0.034581,            0.013243,             0.68548,             0.35932,             0.38689,              0.3106,              0.0261,            0.046989,            0.038731,           0.0084546,           0.0084546,           0.0084546
                 138,            0.025175,             0.03459,            0.013043,             0.69878,             0.35913,             0.38658,             0.31022,            0.026099,            0.046986,            0.038742,           0.0084333,           0.0084333,           0.0084333
                 139,            0.025022,            0.034406,             0.01299,             0.69986,             0.35882,             0.39001,             0.31151,              0.0261,             0.04699,            0.038746,           0.0084118,           0.0084118,           0.0084118
                 140,             0.02511,            0.034562,            0.013021,              0.7015,             0.35864,             0.39076,             0.31192,            0.026103,            0.046997,            0.038751,           0.0083901,           0.0083901,           0.0083901
                 141,            0.024983,            0.034394,            0.013137,             0.70275,             0.36005,             0.39204,             0.31296,            0.026102,            0.046993,            0.038757,           0.0083684,           0.0083684,           0.0083684
                 142,            0.025144,            0.034291,            0.013055,             0.70514,             0.35975,             0.39175,             0.31281,            0.026101,            0.046987,            0.038763,           0.0083466,           0.0083466,           0.0083466
                 143,            0.025187,            0.034596,            0.012959,             0.70348,             0.35806,              0.3921,             0.31353,            0.026103,            0.047006,            0.038776,           0.0083246,           0.0083246,           0.0083246
                 144,            0.025178,            0.034401,            0.013214,             0.70362,             0.35806,             0.39218,             0.31355,            0.026106,            0.047019,             0.03878,           0.0083025,           0.0083025,           0.0083025
                 145,            0.025042,            0.034521,            0.012871,             0.70632,             0.35754,             0.39218,             0.31402,            0.026105,            0.047021,            0.038769,           0.0082804,           0.0082804,           0.0082804
                 146,            0.024963,            0.034675,            0.012707,             0.70689,             0.35737,             0.39252,              0.3149,            0.026106,            0.047029,            0.038758,           0.0082581,           0.0082581,           0.0082581
                 147,            0.024983,             0.03442,            0.012835,             0.70629,             0.35727,             0.39269,             0.31508,            0.026107,             0.04706,            0.038763,           0.0082357,           0.0082357,           0.0082357
                 148,            0.025005,            0.034425,            0.013001,             0.70665,              0.3572,             0.39312,             0.31555,            0.026108,             0.04707,            0.038764,           0.0082132,           0.0082132,           0.0082132
                 149,            0.024798,            0.034014,            0.012977,             0.70462,             0.35451,             0.39198,              0.3145,             0.02611,            0.047077,            0.038761,           0.0081906,           0.0081906,           0.0081906
                 150,             0.02485,            0.034278,             0.01285,             0.70586,             0.35416,             0.39213,             0.31396,            0.026109,            0.047105,            0.038763,           0.0081679,           0.0081679,           0.0081679
                 151,             0.02468,            0.033932,            0.012661,             0.70536,             0.35532,             0.39251,             0.31447,            0.026106,              0.0471,            0.038771,            0.008145,            0.008145,            0.008145
                 152,             0.02489,            0.033907,            0.012734,              0.7099,             0.35564,             0.39244,              0.3142,            0.026105,            0.047108,            0.038786,           0.0081221,           0.0081221,           0.0081221
                 153,            0.024748,            0.034242,            0.012622,             0.71045,              0.3541,             0.39276,             0.31467,            0.026107,            0.047117,             0.03881,           0.0080991,           0.0080991,           0.0080991
                 154,            0.024986,            0.034292,            0.012646,              0.7107,             0.35386,             0.39335,             0.31549,            0.026106,             0.04713,            0.038824,           0.0080759,           0.0080759,           0.0080759
                 155,            0.024911,            0.034333,             0.01276,              0.7118,             0.35357,             0.39326,             0.31521,            0.026104,            0.047136,            0.038825,           0.0080527,           0.0080527,           0.0080527
                 156,            0.024778,            0.034081,            0.012598,             0.71197,             0.35365,             0.39046,             0.31275,            0.026104,            0.047144,            0.038829,           0.0080294,           0.0080294,           0.0080294
                 157,            0.024771,            0.034238,              0.0126,             0.71261,              0.3534,             0.39435,             0.31537,            0.026108,            0.047153,            0.038826,           0.0080059,           0.0080059,           0.0080059
                 158,            0.024617,            0.033795,            0.012579,             0.71268,             0.35421,             0.39504,             0.31577,            0.026109,            0.047175,            0.038826,           0.0079824,           0.0079824,           0.0079824
